msno,is_churn
+PrSHh2hs0Ku7QdTJ7kehCTHeVFEZFfRliaA7c2b1mk=,1
Fb0o+MrCz892yo01SF6K+q0iaCgz1a23a0snMAjWciI=,1
3wkUDDG2b3I611/F1g9GSK+pMW9tGLYpmeJ5wNwmwfk=,1
HkW/+A7s1HCPqXchOqLbG+NNZ1tDjkZ9NbrWF945st0=,1
Cwdzw0FgkokmQiWbopPfbJQxuJQaOf2adQEEPsXQRQg=,1
FAR94JkAWVZvMMBTrMDdfzXu1a/FL1ypjhB0frWdhh4=,1
4swg3htPrbZD373flTEikDLkGZbTYGXRh7btJDdR3D0=,1
qapWxo6+O+w00QR0m1OEi15hx/XIFOht9aExB/eoSwQ=,1
Y9A+3uJ9TBYrxYDJZS0emCdzDx5bgfAK1fh2LGuodHE=,1
fF/U6vX8WsKqSIwUrvngrUA1OHUl0cucuTd/RaNpcWY=,1
GYHVJLlXZDMn6Fugip2DlH2zquwgLp+uwG3BxB0w+Lc=,1
N0Sh7kTyXFWwH8hgY4i8/6OERYIms7HFx74ahYqcO/U=,1
x/LtMTbOUNcHe8SUxLQzB3B1FPN2D2ysWep1+JMcAic=,1
oTdG2gcA1eu5ekPekGzAEzc8GPmQsL5S4OSjSB+6R4U=,1
RFvX9HRz/J7FbrjA2kKxGuX+CMNa/et4gViS1HaPRXk=,1
tLqLG78o+QWuG541fAlFQUV9hYnF7hLgGG5qU0zD94U=,1
tzF/NkEAJY0ckzHyEIHK+V1SOuCGh2M7cNbYEh/MJWs=,1
5RBOTGBCLiJ4NU9VcBQzF7xhweL4BqEoPZsezkSapSs=,1
bPXlRWyswKlgwSpvyr+mbXUha2/CkplS7fMt3vcaDTw=,1
9VNeRkNETvgMBmHxc4HSHsdRkEPpdeOw63uOBCtfyhQ=,1
/ydjQ4fb6A2Qq2ox4Lb7VNG3Pyx1y6P6cpiD2+GDd3o=,1
ty2ydSVOkE64tcPsI2/w5h3sYoqneh6aBIsVb0UZeXA=,1
qq66J0tsFI4abPUJ8tIh4b+BJMFfpzSdCGYBmOPzu8E=,1
WkeTbNOLt9RW2LZH5hzt/anmIUwjgvDiLN+5nSw9HJQ=,1
+ucbAUE436kTWHaxhu/WOD1gn4VegwJMrjIkgtGxq0c=,1
XFAr8ivYSNL90B5rDkJ1uV2X8Cq7jZhHuY1RoJLvLu4=,1
KVWrPQDCDjs70tARDJW7Lghn4Awv4drXkS1HE8nTzbo=,1
PzLtEQzs5F9WzdFLhYK4fpVD+EKDhqdGF34aaf6Xpn8=,1
NBYVi4wuJzwyexabmfBgThi8278nHno0SjBqj66FRgA=,1
9trQrK3DYbdZh9Wmb5lz8L/UqAsG5k4mn6HJr3fN1U4=,1
Wxv7rU04HkfX8wQQyWl9IHJJ+8UsLodTm1DTYV9pk84=,1
IZibviqFNFrbF2+1JK/Za/eLsbMM592mDqWbpAOJTtk=,1
y04Hx9rQ4CgAsfmnLrhuevGEYXjkJKhpy9wcfFxX5lA=,1
mw5UQnAHb2XemIeFRcxs56PYsoTAqJDD+q9PN4nTJOs=,1
jUVX18jtfKuiDwS6lzsUmI+/SizGtFRe2FTPETTWXYA=,1
63gfcIAWWuH41NC/cf8dZa0uBxuA3C20oJ1MtSNJ2n8=,1
l+AOc2ClQSENI4xRCPoaTZDIdwjSdtiC0X07TEL9E2U=,1
31FVrNFpRRSHWN4gp3oi0SnzlsHIDMJiINPzFpwIDjo=,1
KLEH6gSTYLgfhSACCJdacl6lpHaMQF4Tps8FPEYppWU=,1
rfXyVhC45+/Z6KKDl50vpQaCNrNTfhi6k3gNKKRAS5A=,1
v8vSq+ZGPiLsOZH+vZkbpNyOOCzQRpulpK1ZrwYokyE=,1
pQjOJ5SPhIs3MaoPKHydbYOQb7x/Pd3M/I9rMlyNyH8=,1
tlFGRF/TtrSwJA9XPHL4cajWghZCbAbhzif/6wJiN6Q=,1
Zz8zG73gM0tKw4ypFfZwgG2r5DZeRNMQdF6N7aY2q+s=,1
cgexlAacXZ5Ynto9yz4rK5sxRM3+OKVztMILmtpkWKU=,1
X2qZEG7G4eTgLYG4Cbzl14xnNesKA5EiVDfn7THMeAA=,1
lxVY5FOJD+16Xisr5T54ymbHYZFuCGDRjIgcHYFProU=,1
XljgnUAx8Qh4AU/U4fCupXsSp7Zs6J+P6WOGAesrC2o=,1
ZM/iYORowbgGOBT7oocnGa+IFC7BQkbuyabwDUxThSc=,1
f/88DxRVJPVu2CC7SUYuAl4XDUu0MlIfCYmEroELslQ=,1
updAW6HxePM6jqgpituhrUiMnPhha+l+TzxAvcYkcLA=,1
BPs6QbxBRV/7PMOgFbPcTqLiD8ce7Gc6CMDOvu2Idzs=,1
IDA/TtN7roDdkVqeJA3qrtkyq9iY2sF6mxQt8MXbQro=,1
ISWah2dahUgYglvXXecagnMFvjD5tFBf03xJcoODGVk=,1
jXzt+Brs+tWyx9/B9RaNzIDm4Ul8xftpoF6UzbfCQCo=,1
9bGTk2mZ92h6JJ3NvyHU+6BhghbFQlcc0SZAAdtI/hE=,1
dirg0U27iX7VnU51H9Ba0csjJFsDx3UjQ30C60FScrE=,1
NVbocQEs1F1N4sLzvMmGYAYL2Xk2ktEw3EJFtisgSS0=,1
Z1XQkBsrlODUZdQhqnYLhSF7KuLLn7dlykDY/VPlQLQ=,1
nRaL8jefyn1AazHDXeLlsTf9XsL2SfpMDvDgLjgdaJk=,1
DCSfzu74nstpMgMJ0fswgodsOHIatxBlW4Sz36Xo3jU=,1
qTVf4PZ5xa/IF5nj/bDKqsfCnL5GOqWOBmzZmBvDQiU=,1
bDA7moIfgwBDzugnAQOIgriY0sFqakkMz44jAAnwRo8=,1
kp/gL4tjB3UrV+N62doeNOC/vtoIwoWJRPgPJwpR4Og=,1
V1/mtkrIdPCye2bL/8Yh7KUUow3p/hxVCMN2SbcAe0g=,1
YrRxBENo7JbG3VrgvJuak5u6LhPDdV0rQ8PBvS+EOhI=,1
WzS/LuU4Bgqer7/SQAmi7O1wjvGHYgcsDh0NF8HsYkA=,1
hyDvdiMkvPrMCCfDvtRtOxI3PJo6dIA01kWJCE0/H4E=,1
sJNbh6uOAXZ+HsLnE/MtWhrlyJDckklY8ArTKG0aJ5s=,1
smZXvXJia/pyncqy00iPiAsU0GYDKeJYofkx9m1cFM0=,1
v2ummSjiDzosIHboV0qX3pEQ4TkAgrZMGo2gS3IG+hw=,1
vyG38S09JIpioEiWCyph1Bb+kO9+sxQpTsJp8eU8h7I=,1
CzQ/xRPuGgZV6PQUdrwNSndjn4hKWwVtPXvZsbtzQJ8=,1
3W09U8eONPCm//2JgLsmgowZoPzXwIpWmLtOiS5Egqk=,1
eVj2sMHYb+lS6yfs/MG+CZ7f8I3+/RhE2/hrwLO8ZnQ=,1
v12102MoDWmGan1fCmUhdgR4woPbvVbzmZ1bV3cwfpc=,1
9Oa6VEQNisZZCPkvkkebQN2STJcWYSZSwgoLrOp1qPU=,1
xoH1MV4F8l7TBPHdgPRjyKpYZ9m73DFN9PLxePvj6pM=,1
pnAIhcuIxxIDRl3ukaaPVjsYIGpbnie6bYlv84bLiGA=,1
SdjRkuxUgcKy63f8cO2AwWMPxQPu9YBLyFwyiIQU0Bo=,1
1/ZzO8W7eIvmWdTZvSSjfCgjkqY9/pgxioxoiC9njb0=,1
WBgewHLY+Jp7Zqdy0P6r3pqj7t25WEOXbVqgTdRbYZg=,1
ZkCAK/gAboJulAud8JLZ9luGyLes+PJ4BDyKbEVyZ/A=,1
houQ9hZY1Cl8hS9aAXbnz6rhTjt8u6bCcwDJ93pOHQE=,1
T0FDcb2UbZWSUSkF7whMPDbMu1WgcbLl9KN+HFESzcg=,1
YW94+41Fl5OQZiVCHJjbf9DW9PodlHxnwQ5qHgCxRv8=,1
kvT3A4x0Uz1Z0pyulnzAejvwzynfALMDxVjYmD5JPYQ=,1
HnVRKOlJyenltqDj8aMfcIviAYUi8ja7ni2ATiaVNlE=,1
e4qA9TOjpKgDF9Qqgn/FhVaf+pXO1GIIXWA9SgEDi5Q=,1
S2AF45MDTKiLpmhuOwpUJLcDMDfdxFqR4RDkGe4Xq2I=,1
70xNPnsiGRedNKD5TAq70IuRzG1GegPm8naKT+WMnJ8=,1
6oRbd6xOxY6M2lDRErVn5SxU2ny5U9/zt+tsMcvpeBU=,1
ejATrfZ6H2NhzkPNIlltfQrd4kCasoO8zjsCYOsBHTY=,1
4DExLeQkvoxtdjVOOGkaLF7UypPmCs75PKn5bgNToQo=,1
shmMa5HGbCwp/v0x3Pi5HKL8fswKKyJX5D7JFvqnTHI=,1
afR4wImSFGpiAyOjPTx90FEQoqnzsCf2Vk+UMwun3/g=,1
UnJ0dCG3tlomY7+2jPlLGhde/tzOg9R6BvZfKVX7tsk=,1
KNg2eSaccTDEckmo8LNtVkpgLT0QS21my00tyK1x9og=,1
