msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
ArtxrfFPQJx3ymDvjczUjAQXK91EwT5J0qGs3eZfMBY=,41,30,149,149,1,20150228,20160930,0
6PHX6z1qJjGOZ/4oT9hEFI/Q2Va+ztPPAJ69jfdBEBI=,40,30,149,149,1,20160726,20160825,0
4OA8Hjn5fFtRgYGCK2X1X5YqUCxk6r4inJj8MVNn9QQ=,41,30,99,99,1,20160723,20160823,0
6knEPPofij25svtEKmY7OXw2jNqEjiU3jxDCHJUskk8=,40,30,149,149,1,20160820,20160920,0
oPHnfPu1M/Oc7YLL2Vrie1EzCmTFWDWfGYDdpJcuVCk=,41,30,99,99,1,20160825,20160925,0
tlFGRF/TtrSwJA9XPHL4cajWghZCbAbhzif/6wJiN6Q=,41,30,129,129,1,20160801,20160901,0
nCj7KKm2qgcniQVq09ODYZ6benQM9nlNSrAnj1fvJFU=,41,30,149,149,1,20161021,20161121,0
6MA2KtMPuovOYY45p8rNzYskcHcU+3XZ3DEGIzsxpAg=,41,30,99,99,1,20161107,20161207,0
rZRjDJOQlI6C0aMvtqwraChO7nklf4o07g8O6tc2kH8=,41,30,99,99,1,20161020,20161120,0
tzWdRWTg5KBuQN4V00V1K8rcwmdu6NzOlyyZfJLtn/A=,41,30,99,99,1,20170117,20170118,1
YkIOoRIomn0T5KdCuYlwBiwILWGY5ISw0vHWye/Et30=,41,30,99,99,1,20170117,20170117,1
d5rvN1aqLjuab5rG6trps83WE92yG9qWbVRExHui/ng=,36,30,180,180,0,20160903,20161003,0
iH8xaDDybiDYnMm40Bx9gvjo/OiG4YkISy8sSZGRBZk=,36,30,180,180,0,20160719,20160910,0
jHoABZgkaclzcfFeMm3Ixll2AyZA8ldxHThIiKQHvzA=,38,30,149,149,0,20161203,20170102,0
mxkcquFAmIPd5PwJIVyaZ6HUYwaiE++FUsz/8JNc3/8=,41,30,99,99,1,20160809,20160909,0
QjzlU6i2qV+m+EZ+3eazKC/Dbffs8K1ykdQZjSEMCbg=,40,30,149,149,1,20160921,20161020,0
xSKN7O0DtwqIsdFN1X7952lbUUiT46l6QYYOJjEl2Ig=,37,30,149,149,1,20161101,20161201,0
TjrflJcKm323MQpt0LfHy3nF2YbE6oetlp/q9DnZpb4=,41,30,149,149,1,20170101,20170131,0
rgfNrNZH13BCwXWmaUGsSXuNG2RiJ9FTxVeCdQxdv10=,32,410,1788,1788,0,20151014,20161130,0
FH1P+3uC9ZNVQEFk681ohzdxhkexlR4A/KcLarHWhfo=,29,30,180,180,0,20161002,20161101,0
LuyHnpIUvZmEE9EpTjaqjlD76iS4PBJvvqv7GtXcbIw=,41,30,99,99,1,20160703,20160803,0
X6DZWsjn/9KCqbX4mYqhJQwRe33VpH9yr7VSkGZHjb0=,41,30,149,149,1,20151117,20161217,0
2b//zbqRdlNQu5wRUiMSekgYSON0PsNLpOb1A6DoG1I=,41,30,99,99,1,20160907,20161007,0
omkqhxS17kPuk9iK3vT3La0h1G7H6SHLcMjCJtPUzlg=,41,30,149,149,1,20160701,20160801,0
5ZPiBkZx0w4iEDONk3DpQq+J7AqRIhQAhGaNbVBISGk=,41,30,99,99,1,20161231,20170131,0
7gW2ivpShUFApf+g3aNkTmgQZdSKl5vmhuYErPTjhUk=,40,30,149,149,1,20160907,20161006,0
GBZtdHl/TIrfx92cJOeMRw2be8AVTDelL+CumtQQ/1w=,41,30,99,99,1,20161118,20161218,0
Q6zrCsRj/ozA5+ddgeyuqJD/S+uQ0sUV0U5iIwCoSsc=,41,30,99,99,1,20161016,20161116,0
lzntwS0uaT4PB+t8lwvH7RFsrGBlM/soTu1EHpcsg3k=,41,30,99,99,1,20161022,20161122,0
FE0ADoq01MPMnbIjMhhQYA9EcrQIntuaxI9YKXkcRSI=,41,30,149,149,1,20160827,20160927,0
YB/rxBTsWd3s+i8U3YzBfaYvT7FfiJyGQa92OFShmKc=,41,30,149,149,1,20161122,20161222,0
gzP0uYg38pRkMFX1M6VJFMtSxDipOYeRuJuKe7rhkPM=,41,30,99,99,1,20161024,20161124,0
I+yMCmYE45L+M4es4t5h/dRkkkgXmPyb6d4OAC//gbo=,41,30,149,149,1,20161220,20170121,0
oI+XKgtHSnvtnJ/7Bybok/Mi370vblTDWfDMTXUEG/o=,36,30,180,180,0,20160706,20160805,0
iujxOlDmzv8nsaqxPDgGXvF9DEdwYT3cgK8cLoWdEUY=,38,7,0,0,0,20160830,20160930,0
PgX646Fjh6IeLlfyTpG4kFDeYotNOr7C4QgiZ3sc2ks=,41,30,99,99,1,20161031,20161130,0
Lp0FlAMaCrdARxKWBDjtbGJaqOSZASYk/UQpv3phCGI=,39,30,149,149,1,20160831,20161021,0
txOoppRB7ezDUEukiCNntOoZwmJCZXs2xIQeKqiHmrc=,41,30,149,149,1,20161130,20161231,0
K3/iVyHvDB9XHQ3mj0YPp/HBeBh+ehgmqmhelch6DmA=,41,30,99,99,1,20160930,20161031,0
AGXL3j14X5LM1Dpv3mYcHz2W0GQ9qJ0734x+zQe2ES4=,38,30,149,149,0,20160918,20161018,0
GnziOnrRvb4mgb61oRRDPl+nnJ6reJyyc3tubeZn0LM=,37,30,149,149,1,20160909,20161008,0
WJW8S4tGiF5KTE4GNAe8+m33w14Bn4HpmnZIm+PDiDk=,41,30,129,129,1,20160916,20161016,0
sO5FQSBzecZxO2tCEECuMYAOKuElkJt4NMC3sbnuxVk=,41,30,99,99,1,20160903,20161003,0
7INhl7kxWWZ1pziqKLKloZTxBMHha1XsMo7RgY0lp54=,40,30,149,149,1,20160914,20161013,0
L4Oww473h2VgFwxmGLQHmr62XpXPumqlB/G2HHqCdmU=,41,30,149,149,1,20170121,20170121,1
TgbQg2w/O3j4t/5xnDSgE9C/gtFGWo5IeOaAlwM4KfE=,41,0,0,149,1,20150509,20161006,0
Ovw+AIho4BvfYTr2sNCm4XtTsQUBenr4i58z+N3YJzg=,40,30,149,149,1,20160524,20160920,0
7wxIDmJ7xVLKH518gWKk4jb5GmFDKCwO6Z5iLZdt5HQ=,41,30,149,149,1,20160822,20160922,0
RqdKATSFWhRU0MCG+YKs1juSFq9YMOTSF6mk1AWw8LU=,41,30,99,99,1,20161119,20161219,0
EhWnMOl3sLJ3MYx6vjGAuvKqmBrE5SRyxmNKX0HEwWQ=,41,30,149,149,1,20160704,20160804,0
Wr1nXgbn/woZvQ6Ndcff9w9baMhO2hMHxNYM/FYlq2A=,38,30,149,149,0,20161229,20170128,0
uGcd2JZ//68PzmJnkUXprW5arWj1YDYhxq3CyvmSYDo=,41,30,149,149,1,20161211,20170111,0
F/v3StG0YvefgOIBMHqkGnz1wDDdLvTGm53SyHDOBsU=,34,30,149,149,1,20161031,20161130,0
Tq7ULCVqUbR2rlBGYfP6RNd32o+fJr/RHyDkcKSh3eQ=,31,30,149,149,1,20160731,20160831,0
3i9WAibwJzU2EnUXi7YZVxI0S+ECzEZwx+r/QJSs6kU=,41,30,149,149,1,20150801,20160922,0
+4Tjv4zDff3F7F3m63Xg0+yYRs+3aLmfpSaW3HmHCD8=,40,30,149,149,1,20160908,20161009,0
